Keyword,Date,CPC,Cost (USD),Cost_color
online shopping,2023-03-01,2.5,833.25,Red
fashion trends,2023-03-02,1.5,426.68,Red
healthy eating,2023-03-03,3,500.25,Red
car insurance,2023-03-04,4.5,112.5,Yellow
online courses,2023-03-05,5,208.25,Yellow
travel destinations,2023-03-06,2,133.36,Yellow
home improvement,2023-03-07,3.5,70,Yellow
personal finance,2023-03-08,6,24,Green
outdoor activities,2023-03-09,2.5,46.65,Yellow
yoga,2023-03-10,3,120.15,Yellow
music festivals,2023-03-11,4.5,25.05,Green
virtual events,2023-03-12,2,47.92,Yellow
pet care,2023-03-13,3.5,10.5,Green
gaming laptops,2023-03-14,6,800,Red
photography tips,2023-03-15,2.5,18.75,Green
summer fashion,2023-03-16,5.5,12.03,Green
electric cars,2023-03-17,4.5,450,Red
food delivery,2023-03-18,5,800,Red
beauty products,2023-03-19,3,840,Red
language learning,2023-03-20,2.5,625,Red
home decor,2023-03-21,3.5,280,Red
running shoes,2023-03-22,6,270,Yellow
baby clothes,2023-03-23,2,332,Red
digital marketing,2023-03-24,3,600,Red
fitness equipment,2023-03-25,4.5,202.5,Yellow
healthy recipes,2023-03-26,5,120,Yellow
skiing,2023-03-27,2.5,198,Yellow
home security,2023-03-28,3.5,70,Yellow
pet adoption,2023-03-29,6,120,Yellow
wedding planning,2023-03-30,2,77,Yellow
coffee,2023-03-31,3,84,Yellow
online dating,2023-04-01,4.5,13.5,Green
mobile apps,2023-04-02,2.5,35,Yellow
skin care,2023-04-03,3.5,28,Green
home gym equipment,2023-04-04,6,13.5,Green
cooking appliances,2023-04-05,2,24,Green
organic food,2023-04-06,3,9,Green
travel insurance,2023-04-07,4.5,32.4,Green
smart homes,2023-04-08,2.5,7.5,Green
pets,2023-04-09,3.5,3.5,Green
coffee,2023-04-10,4.5,36,Yellow
cosmetics,2023-04-11,5,24.5,Green
hotel bookings,2023-04-12,3,90,Yellow
car rentals,2023-04-13,2.5,12.5,Green
smartphones,2023-04-14,6,36,Yellow
gaming laptops,2023-04-15,2,800,Red
online shopping,2023-04-16,3.5,875,Red
electric bikes,2023-04-17,4.5,14.4,Green
cruises,2023-04-18,5,750,Red
music streaming,2023-04-19,3,360,Red
yoga,2023-04-20,2.5,83.33,Yellow
vegetarian recipes,2023-04-21,3.5,56,Yellow
organic gardening,2023-04-22,2.5,1000,Red
health supplements,2023-04-23,4,10.5,Green
handmade soap,2023-04-24,6,24,Green
artificial intelligence,2023-04-25,3.5,875,Red
green tea,2023-04-26,4.5,14.4,Green
home gym equipment,2023-04-27,5,750,Red
learning a new language,2023-04-28,3,360,Red
air purifiers,2023-04-29,4.5,31.5,Green
home decor,2023-04-30,2,900,Red
online education,2023-05-01,3.5,14,Green
pet food,2023-05-02,4.5,25.2,Green
organic clothing,2023-05-03,5,15,Green
book clubs,2023-05-04,3,750,Red
organic gardening,2023-05-05,2.5,500,Red
health supplements,2023-05-06,4,600,Red
handmade soap,2023-05-07,6,480,Red
artificial intelligence,2023-05-08,3.5,210,Yellow
green tea,2023-05-09,4.5,180,Yellow
